StopID;DIVA;StopText;Municipality;MunicipalityID;Latitude;Longitude
8487;60201890;Ignaz-Köck-Straße;Wien;49000001;48.2657764;16.3996618
8488;60201890;Ignaz-Köck-Straße;Wien;49000001;48.2657345;16.3988982
8489;60200176;Brünner Straße <;Wien;49000001;48.2687363;16.4039917
8490;60201888;Leopoldau, Betriebsgarage;Wien;49000001;48.2802516;16.4302135
8491;60201887;Petritschgasse;Wien;49000001;48.2793788;16.4351003
8492;60201886;Tauschekgasse;Wien;49000001;48.2756542;16.434184
8493;60201884;Frohes-Schaffen-Weg;Wien;49000001;48.2757977;16.4408765
8494;60201885;Rosannagasse;Wien;49000001;48.2769276;16.4457454
8495;;Großjedlersdorf;;;;
8501;60201204;Schüttauplatz;Wien;49000001;48.2262102;16.4233594
8502;60200475;Harrachgasse;Wien;49000001;48.2221825;16.4252907
8503;60200917;Neue Donau Mitte;Wien;49000001;48.2202134;16.4281204
8504;60200884;Mendelssohngasse;Wien;49000001;48.2256058;16.4243385
8505;60200917;Neue Donau Mitte;Wien;49000001;48.2197884;16.4284618
8506;60200221;Dampfschiffhaufen;Wien;49000001;48.2173165;16.4320101
8507;60200290;Donaustadtbrücke U;Wien;49000001;48.2121926;16.4399243
8509;60200683;Kleehäufel;Wien;49000001;48.208056;16.4460508
8510;60200806;Raffineriestraße, Ostbahnbrücke;Wien;49000001;48.2056433;16.4487368
8511;60200676;Kierischitzweg;Wien;49000001;48.2000692;16.4569923
8512;60200220;Dampfkraftwerk;Wien;49000001;48.1974286;16.4608999
8513;60201120;Raffineriestraße, Biberhaufenweg;Wien;49000001;48.1934346;16.4669007
8514;60200342;Frachtenbahnhof Lobau;Wien;49000001;48.1878771;16.4753089
8515;60200990;Panozzalacke;Wien;49000001;48.1810372;16.4858821
8516;60200809;Lobgrundstraße;Wien;49000001;48.1770359;16.4920625
8518;60200316;Finsterbuschstraße, Nord;Wien;49000001;48.1734177;16.4978117
8519;60200954;Finsterbuschstraße, Mitte;Wien;49000001;48.1707877;16.5020069
8520;60201543;Finsterbuschstraße, Öllager;Wien;49000001;48.1674866;16.5074057
8521;60201542;Ölhafen;Wien;49000001;48.1660306;16.5098851
8522;60201543;Finsterbuschstraße, Öllager;Wien;49000001;48.1675704;16.5075135
8523;60200954;Finsterbuschstraße, Mitte;Wien;49000001;48.1708117;16.5022135
8524;60200316;Finsterbuschstraße, Nord;Wien;49000001;48.1734956;16.4979105
8525;60201610;Zentraltanklager;Wien;49000001;48.1780423;16.4943622
8526;60200809;Lobgrundstraße;Wien;49000001;48.1776529;16.4913888
8527;60200990;Panozzalacke;Wien;49000001;48.1810193;16.485936
8528;60200342;Frachtenbahnhof Lobau;Wien;49000001;48.187943;16.4754167
8529;60201120;Raffineriestraße, Biberhaufenweg;Wien;49000001;48.1934885;16.4669905
8530;60200220;Dampfkraftwerk;Wien;49000001;48.1975544;16.4609718
8531;60200676;Kierischitzweg;Wien;49000001;48.1999914;16.4573426
8532;60200806;Raffineriestraße, Ostbahnbrücke;Wien;49000001;48.205793;16.4487547
8533;60200683;Kleehäufel;Wien;49000001;48.2079901;16.4459071
8535;60200290;Donaustadtbrücke U;Wien;49000001;48.212462;16.440095
8536;60200221;Dampfschiffhaufen;Wien;49000001;48.2168675;16.4325491
8537;60200642;Kaisermühlenstraße;Wien;49000001;48.2134317;16.4416131
8538;60200904;Mühlwasserstraße;Wien;49000001;48.2142877;16.4450626
8539;60200649;Kanalstraße;Wien;49000001;48.212881;16.4561838
8540;60201330;Strandbad Stadlau;Wien;49000001;48.2143715;16.4563904
8541;60201500;Wohnpark Lobau;Wien;49000001;48.2176816;16.4575941
8542;60201337;Stadlauer Friedhof;Wien;49000001;48.2197824;16.4582589
8543;60200394;Ehrenpreisgasse;Wien;49000001;48.217939;16.4612772
8544;60201364;Tamariskengasse;Wien;49000001;48.2164486;16.4650681
8545;60200650;Wulzendorfstraße;Wien;49000001;48.2153472;16.4680595
8546;60200967;Orchisgasse;Wien;49000001;48.2127313;16.4669187
8547;60201551;Binsenweg;Wien;49000001;48.2104685;16.4658497
8548;60200140;Schierlinggrundbrücke;Wien;49000001;48.2087624;16.4653107
8549;60201207;Schütthäufel;Wien;49000001;48.2085589;16.4702963
8550;60201399;Ulanenweg;Wien;49000001;48.2059666;16.4676014
8551;60200559;Husarenweg;Wien;49000001;48.2024402;16.4651939
8552;60200912;Naufahrtbrücke;Wien;49000001;48.1995723;16.4700807
8553;60200430;Großer Biberhaufen;Wien;49000001;48.2020331;16.4732428
8554;60200903;Mühlwasser;Wien;49000001;48.2040867;16.4758299
8555;60200171;Brockhausengasse;Wien;49000001;48.2074873;16.4770786
8556;60200901;Mühlhäufelweg;Wien;49000001;48.2089779;16.4778062
8557;60201024;Plattensteinergasse;Wien;49000001;48.2112707;16.4788213
8558;60201507;Haßlwanderweg;Wien;49000001;48.2126655;16.4790549
8559;60201633;Stavangergasse;Wien;49000001;48.2131623;16.4760186
8560;60201634;Seidelbastgasse;Wien;49000001;48.2142099;16.4712485
8561;60200650;Wulzendorfstraße;Wien;49000001;48.215437;16.4681224
8562;60201364;Tamariskengasse;Wien;49000001;48.2165144;16.465122
8563;60200394;Ehrenpreisgasse;Wien;49000001;48.2181006;16.4612772
8564;60201337;Stadlauer Friedhof;Wien;49000001;48.2198662;16.4582858
8565;60200675;Sanddorngasse;Wien;49000001;48.2186811;16.4577558
8566;60201500;Wohnpark Lobau;Wien;49000001;48.2172925;16.4573516
8567;60201330;Strandbad Stadlau;Wien;49000001;48.2143835;16.4562646
8568;60200649;Kanalstraße;Wien;49000001;48.2127732;16.4556179
8569;60200347;Franz-Pletersky-Weg;Wien;49000001;48.213294;16.4511263
8570;60200904;Mühlwasserstraße;Wien;49000001;48.2143475;16.4451704
8571;60200642;Kaisermühlenstraße;Wien;49000001;48.2135215;16.4416131
8576;60200121;Benatzkygasse;Wien;49000001;48.2300282;16.439529
8583;60200649;Kanalstraße;Wien;49000001;48.21245;16.4559412
8584;60201163;Zillbauerplatz;Wien;49000001;48.2083912;16.4547914
8585;60201164;Schillwasserweg;Wien;49000001;48.2055535;16.453947
8586;60201067;Rallenweg;Wien;49000001;48.204422;16.458735
8587;60200062;An der Bien;Wien;49000001;48.2069365;16.4801688
8588;60200808;Lobaugasse;Wien;49000001;48.2053739;16.4868163
8589;60200222;Danzergasse;Wien;49000001;48.2088402;16.4884243
8590;60200089;Asperner Heldenplatz;Wien;49000001;48.2165563;16.4831153
8591;;Oberdorfstraße;;;;
